INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8080
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug: * Restarting with watchdog (windowsapi)
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 389-734-814
INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8080
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug: * Restarting with watchdog (windowsapi)
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 389-734-814
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_misc.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_basic.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_lu.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_ldl.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_cholesky.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_qr.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_qz.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_svd.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_schur.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_decomp_polar.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_matfuncs.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\blas.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\lapack.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_special_matrices.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_solvers.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\_procrustes.py', reloading
INFO:werkzeug: * Restarting with watchdog (windowsapi)
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 389-734-814
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\backcall\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\backports\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\bcrypt\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\bcrypt\\__about__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\binaryornot\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\binstar_client\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\bkcharts\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\black\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\blackd\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\blib2to3\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\bokeh\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\bokeh\\util\\version.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\bottleneck\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\brotli\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\certifi\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\certifi\\core.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\charset_normalizer\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\core.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\decorators.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\exceptions.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\formatting.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\globals.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\parser.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\termui.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\types.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\click\\utils.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\cloudpickle\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\clyent\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\comm\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\comtypes\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_build\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_content_trust\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_env\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_pack\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_package_handling\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_package_streaming\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_token\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\conda_verify\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\cookiecutter\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\cryptography\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\cryptography\\__about__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\curl\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\Cython\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\cytoolz\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\dask\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\debugpy\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\defusedxml\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\defusedxml\\common.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\diff_match_patch\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\dill\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\distributed\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\erfa\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\et_xmlfile\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\exceptiongroup\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\exceptiongroup\\_catch.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\exceptiongroup\\_exceptions.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\exceptiongroup\\_formatting.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\executing\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\executing\\executing.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fastcache\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fastjsonschema\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fastjsonschema\\exceptions.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fastjsonschema\\version.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\filelock\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\filelock\\_api.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\filelock\\_error.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\filelock\\_soft.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\filelock\\_unix.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\filelock\\_windows.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flake8\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\cli.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\blueprints.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\ctx.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\debughelpers.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\helpers.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\logging.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\signals.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\templating.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\testing.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\views.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flask\\__main__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\flit_core\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fontTools\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fontTools\\misc\\loggingTools.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\callbacks.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\compression.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\core.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\exceptions.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\mapping.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\registry.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\fsspec\\spec.py', reloading
INFO:werkzeug: * Restarting with watchdog (windowsapi)
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 389-734-814
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyterlab_server\\handlers.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyterlab_server\\config.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyterlab_server\\licenses_app.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyterlab_server\\translation_utils.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyterlab_server\\workspaces_app.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyterlab_server\\workspaces_handler.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyterlab_widgets\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyter_console\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyter_core\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\jupyter_server\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\keyring\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\keyring\\core.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\kiwisolver\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\lazy_object_proxy\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\libarchive\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\libfuturize\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\libpasteurize\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\llvmlite\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\lmdb\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\lmdb\\cffi.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\locket\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\lxml\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\markupsafe\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\matplotlib\\compat\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\matplotlib\\pylab.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\matplotlib\\tests\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\matplotlib\\tight_bbox.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\matplotlib\\ttconv.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\matplotlib_inline\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\menuinst\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\mkl\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\mkl_fft\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\mkl_random\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\mpmath\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\msgpack\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\multipledispatch\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nacl\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\navigator_updater\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbclassic\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbclient\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbconvert\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\_version.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\converter.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\notebooknode.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\v4\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\v4\\nbbase.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\validator.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nbformat\\json_compat.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nltk\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nose\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nose\\core.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\nose\\exc.py', reloading
